Name,District,Municipality,Township,Line
Venda do Alcaide,SETÚBAL,PALMELA,Palmela,Linha do Sul
Palmela - A,SETÚBAL,PALMELA,Palmela,Linha do Sul
Palmela,SETÚBAL,PALMELA,Palmela,Linha do Sul
Praça do Quebedo,SETÚBAL,SETÚBAL,"S. Julião, N. S. da Anunciada e S. Maria da Graça",Linha do Sul
Setúbal-Mar,SETÚBAL,SETÚBAL,Setúbal (São Sebastião),Linha do Sul
Cachofarra,SETÚBAL,SETÚBAL,Setúbal (São Sebastião),Linha do Sul
Praias-Sado-A,SETÚBAL,SETÚBAL,Setúbal (São Sebastião),Linha do Sul
Vale da Rosa,SETÚBAL,SETÚBAL,Sado,Linha do Sul
Águas de Moura,SETÚBAL,SETÚBAL,Gâmbia-Pontes-Alto da Guerra,Linha do Sul
Mourisca-Sado,SETÚBAL,SETÚBAL,Gâmbia-Pontes-Alto da Guerra,Linha do Sul


